tmc,NORMALIZEDSTART
129+05655,53910.8398
129+05687,18654.2665
129+08931,19079.4737
129-06345,20841.5376
129+08954,30923.457
129-08433,2124.7988
129-08741,76619.7771
129-08703,14291.8702
129-10248,23579.9441
129-08402,1952.8427
129+08799,3475.7516
129+05811,28608.1417
129+05818,29242.4822
129-04874,2733.1951
129+04834,12234.0368
129+05318,8956.5691
129-09934,794.5629
129-08432,2389.9194
129-05692,33947.9986
129-10098,6201.9307
129-04769,5184.1575
129+09899,34500.9572
129-04809,8177.6994
129+07606,5010.5912
129+08553,10823.3681
129-06327,5270.1823
129-08960,39446.5187
129+08957,35594.3716
129-08455,14837.3958
129+04896,9612.578
129+08986,35988.6191
129+05599,36778.1702
129-09023,24889.3013
129-04875,2172.9434
129+08460,4068.6114
129-06282,43293.3667
129-05536,11046.1369
129+08638,2282.1812
129+08910,33805.1282
129+08903,18394.3178
129-05603,30077.2579
129+08823,8179.9148
129-04784,4272.27
129+09907,14918.7364
129+09551,14189.1868
129+08442,2135.4583
129-05669,2637.1653
129+10056,20918.2211
129-04799,21571.0105
129-08824,10649.2576
129-05697,43713.1423
129-08711,4690.7672
129-05795,13785.5939
129-08678,11183.6338
129+08702,15865.6852
129-08668,10311.1613
129+04884,5905.6661
129-07635,12120.1123
129-04854,14460.462
129+08476,1148.7736
129+05699,45687.1582
129-04834,13492.0427
129-10099,5123.1788
129-08461,2810.2239
129+08066,20051.6376
129-05641,5459.3869
129+06477,16466.7349
129+09055,17360.8573
129-08176,8533.2332
129-08474,3084.4541
129+04830,10119.3684
129-08682,18208.244
129+08787,3284.7906
129+04791,10237.5679
129+05577,16671.2355
129+08978,26122.4486
129+08675,3318.9148
129+08120,13124.8429
129+04824,5119.4625
129+06374,45984.4693
129+09283,16823.2566
129+08681,13630.4181
129+05685,16772.119
129+08938,33291.52
129-07633,6209.5736
129+06325,20702.2838
129-08980,31102.8041
129-05788,29457.3101
129-08180,15194.9124
129-08798,4711.7096
129+05691,28800.7091
129-04895,9820.9735
129+08565,2236.847
129-08429,2770.3369
129+08309,10047.2787
129+08762,32581.2001
129+08128,14212.9538
129-08435,755.2109
129-06325,18428.5986
129-08796,19515.0249
129+10212,4996.5177
129+08065,17140.8375
129+04800,21633.3587
129+08962,41791.4264
129-08164,7857.9259
129+04807,6302.2963
129+04812,10672.8987
129-08316,26755.1893
129-04855,15127.365
129-05817,20268.5627
129+08774,6912.6983
129+08682,16250.4355
129+08684,20428.6673
129-08125,1545.9082
129-06332,5027.4831
129-04839,18201.9531
129-05381,33212.4074
129-05809,23446.2188
129+08906,23310.1651
129+05579,20177.9757
129-10205,15049.8603
129-08592,9171.2674
129-08320,31855.0816
129-05611,8703.8815
129+08846,1629.9601
129-08288,5812.0073
129+10039,10652.2211
129+08800,24132.78
129+10036,8139.1326
129-04864,16082.41
129+08983,32823.9087
129+09908,11522.8692
129-04880,9864.4108
129+08119,16249.1395
129+04796,16949.4025
129-05532,4534.1288
129+04853,18596.4188
129+10850,5303.8137
129+08378,3330.1962
129+05652,43896.1049
129+05605,26059.9583
129-08950,26098.9905
129-08760,35065.7045
129+05315,3353.4451
129-08070,29325.7121
129-08071,34624.1862
129-05606,23440.4402
129-04915,2467.5299
129+08595,11466.5831
129-08566,8327.2743
129+04864,15301.7052
129+08462,2828.3849
129+10411,3133.1285
129+08944,10362.6623
129-04748,21495.071
129-04760,2485.0177
129+08323,34592.1161
129+08113,35741.6937
129-08290,9055.1386
129-04785,4904.1968
129+05600,36047.0597
129+09031,38757.3958
129+09078,6922.9704
129-08957,36735.8306
129+09896,39342.4966
129+10204,21261.6115
129+08777,1984.0136
129+04827,8309.4462
129-05581,24470.0023
129+08708,2401.9368
129+05649,34421.8032
129-08901,16808.897
129+10565,4227.1032
129-05604,27997.5683
129+08067,22417.3343
129+06330,17946.0544
129-08909,33790.8393
129+08317,26761.578
129+08902,16786.5672
129-05791,23411.5687
129-05648,34402.7169
129+08294,13099.5405
129-05388,45482.9215
129+05317,8068.5136
129-10225,11609.0335
129-05683,12509.4217
129+10095,10681.0557
129+08373,8627.9636
129+05535,4908.7954
129+08835,15491.1627
129+05611,10660.6609
129+06345,17693.0501
129+09054,16311.8052
129+07608,6473.2587
129+06282,42058.1123
129+08241,6783.0762
129+08320,31364.6125
129+05382,33059.4673
129+08074,38768.1319
129+08975,19008.1129
129+08473,5042.4279
129+08907,27251.6448
129+08289,5811.4854
129-04894,9078.701
129-08830,10017.2705
129+05788,28026.0546
129+09938,4666.6596
129+05809,21462.5802
129-06317,16894.7924
129+10215,1038.5419
129+09936,2068.9311
129-08785,2020.2435
129+08698,21158.0974
129-08820,3400.2363
129-06481,15362.0259
129-08955,33925.7391
129-04787,8810.9041
129+04895,9058.4085
129-05576,16450.3123
129+10443,19602.6216
129-09046,1422.8434
129-05577,18617.0306
129+08713,3252.241
129-05540,17706.1931
129+08725,11999.5442
129+08457,12909.1885
129-05673,7836.4376
129-08292,11551.4973
129+08353,1272.2106
129+08666,1638.7848
129-08951,28840.9013
129+04837,16173.3792
129-08590,7015.7757
129-08178,13290.3825
129+05609,16418.3697
129+08461,3507.1175
129+08901,14103.7459
129+06284,45326.0615
129+04783,1510.8949
129+08070,28172.3342
129+08980,29630.3796
129+08564,2391.7604
129+05540,15463.7329
129+05541,20868.1923
129-08770,15863.6603
129+09568,10649.2576
129-08933,23902.5736
129-06847,17350.6252
129+08765,28640.744
129+05659,7235.5985
129+08475,3201.3888
129-08321,33323.428
129+06485,27371.908
129+09897,37814.5205
129-08239,4835.3373
129-08773,8143.2415
129-04794,16226.5342
129+08701,17516.6081
129-06474,8255.0574
129+08453,17155.0265
129+08374,7456.4956
129+09026,30506.7101
129+08634,270.0561
129-05537,12178.5074
129+08771,12374.9708
129-08068,26609.8366
129-09907,11502.0927
129-04797,20514.5595
129-10203,9122.9018
129-04803,3805.4675
129+07634,6209.5735
129-05688,25604.8933
129+05573,3789.5913
129+08982,31989.0237
129+08216,1029.3255
129-08961,41879.03
129+08121,11407.1119
129-08958,37567.8475
129+08315,23143.5283
129-04821,4422.5594
129+08637,2039.0349
129+08924,3559.5005
129-05701,52484.7569
129+05536,5787.9517
129+08062,7143.3711
129-08766,24396.97
129+05642,8459.8403
129-08905,23330.695
129+08988,2880.6413
129-08552,10733.9699
129+08990,4314.9401
129+09940,6539.6642
129+08989,4021.8175
129-08977,26131.6639
129-09938,5836.6134
129-08344,8374.2468
129+08162,3080.3405
129+09909,8733.4208
129+08568,8520.3133
129+08306,2803.2818
129+04797,19326.1004
129+06420,1804.9431
129+09935,794.563
129-08685,7618.0201
129+06368,18764.7632
129+05657,10593.5178
129+06336,17608.2661
129+04869,19092.1822
129-04746,25047.4427
129-05691,32526.9548
129+06848,17283.5606
129-08179,14124.1736
129-08172,3512.918
129+05387,41589.8776
129-08697,21210.0686
129+08290,8298.7931
129+05604,30209.1652
129+08293,11525.9515
129-09048,5981.9012
129-09055,18137.5367
129+08981,31102.8192
129+08996,11823.6998
129+04802,25934.642
129-05670,4348.4469
129+04867,17283.7951
129-08308,10055.6312
129-08718,7209.1067
129-04837,16189.9393
129+08174,5122.5879
129-08790,7203.9962
129+04882,8488.9461
129+08454,16544.2444
129+08354,2271.4037
129+05388,43532.1448
129-04826,8348.5656
129-08992,8151.4343
129+06845,8721.466
129+10206,16741.2075
129-08120,11392.434
129-05816,15033.3798
129-06280,4071.4508
129-09020,19421.5234
129+04870,19126.1222
129+08457,2158.2883
129-04865,16369.0633
129-05370,12595.5219
129+05707,63028.5156
129+06474,6156.6468
129-08075,41806.3947
129+04887,4055.9555
129-08931,21061.1655
129+08636,1372.4892
129+11335,9007.8548
129-04783,2548.21
129+09019,16233.8562
129-07632,2955.2706
129+04839,17476.4609
129-05387,42264.3104
129-08699,18121.3455
129+08987,1177.3702
129+05825,8508.1243
129+05710,68393.4546
129-05605,24107.5933
129+11333,3980.8903
129+05533,4514.2385
129+08946,13706.903
129+05786,26505.5125
129+05606,24245.5784
129-08220,15274.9448
129-04823,5140.2764
129+08591,7020.7731
129-05699,49391.4417
129+08562,567.331
129-06367,16357.6128
129-11331,2540.3683
129-10219,6225.8065
129-10060,15182.1115
129+11332,2525.2252
129+08826,18027.4389
129+09029,34686.5741
129+10230,14515.1882
129-08792,8972.1677
129-06419,1820.2898
129+08079,47977.1914
129-09073,13830.4082
129+08786,1925.7545
129-08772,11161.6529
129+05648,31962.9806
129-09282,16838.0911
129+08960,38122.5084
129-09054,17366.5928
129-08832,13205.0221
129-05652,46020.3209
129+08773,9903.4837
129+08321,31853.1006
129-09029,37431.9274
129-08446,21423.3071
129+05381,31283.9835
129+06847,12103.4004
129-08452,17415.5125
129-04830,10596.3169
129+09074,12967.4461
129-08460,3495.0978
129-08588,3752.8284
129-08323,35594.829
129+09088,4099.5927
129-08987,2858.6268
129+08697,21857.0713
129+08168,14694.5112
129-09936,3673.8022
129-05575,13490.1704
129+05602,33847.85
129-04801,25901.9837
129+08510,2038.86
129+05703,53301.2802
129-08821,6346.9507
129-08708,9587.6273
129+08433,265.1206
129+08676,4086.6316
129-08767,21142.2905
129-09074,11493.2782
129+05671,4348.4469
129-08763,31113.4686
129+08590,5557.891
129+08900,9424.3549
129-08121,9294.728
129-08074,40714.1577
129-08405,19682.4367
129+08614,22766.8842
129-05810,5222.6461
129-05689,27459.9493
129+08688,10928.3146
129-08940,1930.531
129+08440,2122.5973
129-05379,30685.7742
129-05600,34527.2212
129-08175,7746.1435
129+05793,20335.2471
129+04801,23101.7589
129+10093,4028.1862
129+05439,21242.2678
129-05653,50088.8375
129-08377,3311.8693
129+05316,6061.2975
129+05374,18198.8997
129+08567,5759.9381
129+08130,3042.8736
129-05539,15461.6725
129-08369,10798.9565
129-05702,53410.6697
129-04825,7294.613
129+11337,12505.5427
129+05683,9153.9369
129+09048,2258.8336
129+08172,1671.4453
129+09910,3273.8538
129+06366,11623.7883
129-05596,39250.435
129-04805,5589.1216
129-09076,9939.0938
129+08789,13707.6527
129+10211,6723.275
129-10227,13450.6116
129-09908,8723.1377
129-09569,803.992
129+05817,17860.2403
129-08978,28689.4865
129-09942,11257.5292
129+06315,4653.9445
129+04841,18429.4974
129+05709,67839.2946
129-08076,45548.2897
129-08237,3775.1001
129-06283,43714.3008
129-10204,11799.6271
129+08953,28971.4537
129+04831,10577.4104
129-05684,15838.0515
129-10212,25798.6325
129+05581,23376.6551
129-05792,21911.1367
129-08313,19558.3975
129+05643,12172.2542
129+05389,46905.051
129+08949,19520.3648
129-08825,16916.4235
129+05795,14781.7192
129-09021,21225.8026
129+08308,7324.1862
129-10031,3530.4578
129-10217,3713.3619
129-08683,20508.8464
129+08941,1819.3459
129-08372,8682.8485
129-08788,13640.3986
129+06333,5038.8975
129+08170,19036.0653
129+06327,8703.8815
129+04769,2367.4698
129+08839,20760.8724
129+08178,10806.6852
129+04878,1038.9915
129-08959,38227.9141
129+08179,13277.1328
129+08679,11076.8033
129-08698,19947.5679
129+08448,20556.6333
129-05654,52094.529
129+08764,29975.0472
129-05815,9282.904
129-08798,21674.6002
129-08240,6793.215
129+08596,13902.8679
129-09902,25605.7979
129-05695,37733.7188
129+04878,14752.4075
129+08841,24244.5201
129+08288,2675.57
129-05672,7339.9907
129-05578,20210.6046
129-05383,35288.1109
129+08792,7962.8453
129-04817,19175.2337
129+09077,9037.1665
129-08072,36575.2377
129-08903,20156.9222
129-05657,9062.7729
129-04815,16504.5746
129+08673,1009.1871
129+08925,6158.5897
129+04786,4870.4083
129-06480,1744.2135
129+04820,1492.3354
129+08445,22743.7948
129+08177,8533.2332
129-04876,13543.1842
129-08243,10353.9467
129+08596,14823.2459
129-05382,33538.3263
129+04814,13859.9957
129-10035,8135.4188
129-08937,33467.5587
129-11332,4011.0605
129+05575,13108.082
129+05323,17305.8893
129-08836,18381.5264
129+08785,1106.6856
129-05687,20979.942
129+08566,3930.7137
129-06375,53867.8304
129-08979,29630.3645
129-10564,4334.7562
129-09555,4627.4776
129-08681,16333.0371
129-04786,5460.0816
129-04866,17346.3363
129+10444,22214.9602
129+09898,35994.1649
129-10092,7542.6821
129-07634,8150.7208
129-08160,1661.89
129-10033,5651.597
129-08707,2360.4265
129+05695,23169.7829
129-08904,21950.4823
129+08718,5977.6399
129-08565,6498.3281
129+08078,47167.5031
129+08961,39338.7747
129-06316,7316.2274
129-08826,535.2206
129-04807,6725.1365
129+10227,12394.5754
129-09941,10048.3326
129+08720,9291.0454
129-09901,28045.2334
129+05689,25496.8184
129+05321,12621.992
129+08711,6590.0613
129-10211,24644.0368
129+08242,8246.0377
129+08992,6650.1713
129+09939,5820.629
129+04876,2168.8842
129-08791,8093.9152
129-08505,402.278
129+08974,16663.6976
129+08937,28812.072
129-11336,12536.3537
129+08314,19565.3903
129+06318,43705.6949
129-05693,36329.6801
129+08842,26852.973
129-04822,4705.2068
129+08163,4684.8203
129-05601,33703.1121
129+08243,9235.894
129+08771,14255.4734
129-05599,35891.2683
129+08117,20824.3249
129-08314,23130.4279
129+04889,6596.912
129-05320,12626.9467
129+08073,36596.1527
129-04790,10355.5906
129-08506,1615.9538
129+04748,23124.9692
129-08444,22978.4259
129+04855,18656.0798
129+08985,35484.7923
129+05684,12454.2543
129-04871,22156.3045
129+08083,51744.2222
129+08790,5833.0078
129+04886,4587.7985
129-05796,9832.6441
129-04750,19653.8047
129-08707,9793.1545
129-08842,27744.5815
129-05318,10125.2376
129+05534,4667.372
129+08369,12311.8459
129-04863,15355.6465
129+08769,19145.7459
129-08935,26624.1682
129-08445,21770.514
129-07636,14189.1869
129-05643,15462.6134
129-10918,583.4218
129+08721,11946.7452
129-08941,4290.7406
129-08991,6661.6983
129-08457,10721.0675
129-09050,10015.7791
129-10214,28635.7047
129-08514,13367.2191
129-05700,43735.8378
129-09903,23182.5043
129+09024,24872.3069
129+08740,69869.9453
129+06478,20761.1542
129+06484,24642.919
129+09904,23188.0763
129-04788,5736.4696
129-08762,32158.0131
129-09020,15331.9782
129-06284,45565.7425
129-08163,4838.4517
129-04792,12921.9383
129-04811,10509.1226
129+08307,5075.4418
129+09053,15931.1929
129+06476,13472.6572
129-10100,4332.8576
129+08934,23800.5352
129+04785,4225.787
129-04820,3344.7042
129-08516,45577.0312
129+07633,2955.2706
129+10038,10054.4476
129-11337,15684.0273
129-08705,12863.4148
129-08291,10874.2359
129-08956,35677.4828
129-05671,5340.011
129+08075,40762.3637
129+06317,15730.5646
129+09555,224.0137
129+08947,14356.7603
129+05702,52375.3674
129-08940,39884.4217
129+08060,3024.5111
129+10035,6666.0792
129+08691,19016.9117
129-05368,7766.8867
129-08690,19034.7602
129+08994,8295.4753
129-10093,6983.8062
129-08953,31009.9133
129-06318,51260.3818
129+08291,9038.1735
129+08166,9706.3733
129+08935,25326.1538
129+05576,14453.4332
129-08929,17190.3681
129-08835,17000.7367
129-08672,1094.661
129+04752,18474.4509
129+08458,10728.4246
129-04876,1319.524
129-10216,1995.589
129+10239,16859.6535
129-09899,32180.8428
129+05596,40910.117
129-08985,36013.8332
129+05706,61792.6858
129-05686,18778.5241
129-05375,20516.8212
129-09052,15962.4892
129+08372,9835.6032
129-04804,5356.5337
129-10202,7284.9386
129+06372,37389.666
129-05533,4875.382
129+10225,10696.5327
129-08759,37111.6024
129-08353,9373.4399
129+05578,18574.8041
129-08936,28990.4232
129-08081,51138.4907
129+08452,18398.1191
129+08768,19803.7961
129+08930,17107.6469
129-09078,5445.5769
129-05534,4908.7954
129-08586,1810.6751
129+06318,50942.2228
129+04892,6637.9409
129-05709,68509.0449
129+08909,30004.7849
129-08710,6555.4575
129-08719,9303.9366
129-05440,18021.2381
129+04822,4414.0884
129+06332,9764.5028
129-06846,12188.355
129+06337,13028.3728
129-08113,33993.9116
129+09080,1728.8506
129+10101,4399.6625
129+09944,12675.1227
129-07605,5012.5437
129-08066,22411.7465
129-08786,3415.2772
129+07636,12120.1122
129+08506,283.9314
129-08946,14455.7693
129-08769,17552.374
129-04877,14641.5949
129-11335,10332.8585
129+08936,26437.2497
129-08963,43223.9704
129+09052,13298.5692
129-08373,7520.833
129+09049,5981.7698
129-08554,11211.1238
129+09942,10062.9198
129-09031,40201.3815
129-08988,3772.3421
129+08674,2744.48
129+08176,7726.2449
129-05710,69979.2342
129-04875,13282.5848
129-08242,9240.1195
129-08562,10553.7595
129-11333,5102.2333
129+08700,18042.8279
129+04833,11619.7902
129+06482,15262.8869
129-04818,20380.3881
129-08448,20625.8633
129-08758,41230.6213
129-05786,26930.6168
129+04866,16385.6109
129+10219,5380.7236
129+08834,14010.2071
129-08589,5541.4062
129-05316,8081.9193
129-08939,37753.8086
129-04824,5565.8245
129+08939,34733.4496
129+05653,47765.6566
129+08685,5211.846
129+10220,6202.1426
129+08313,18768.7986
129+08945,12488.4703
129-08317,29094.471
129-08993,8294.2662
129+04760,849.5306
129-08117,18536.3449
129-08115,21515.3866
129-10410,9005.8399
129-08080,50409.8503
129+10034,5655.3108
129-05659,4739.6292
129-08949,21420.509
129+04798,20565.688
129+10100,1868.4316
129+08942,4205.786
129+05686,17521.1153
129+08375,6572.1834
129+08772,11823.1373
129+05384,35137.3649
129-06318,43943.7203
129-08161,3104.4929
129+05370,8400.8595
129+05794,18621.1956
129+08926,12155.9114
129+05597,39430.1183
129-05367,5937.3323
129+08064,14155.1452
129-10442,19583.6357
129-08907,29073.6521
129-06374,47822.0771
129+08077,45574.7506
129+10209,10127.9429
129-04868,4090.908
129-09047,2262.4651
129-08124,3117.5243
129+04825,5545.1267
129+08455,16315.2385
